Name,school_year,black_kids_suspended,black_enrollment,black_susp_rate,white_kids_suspended,white_enrollment,white_susp_rate,disparity,difference_disparity
Sankofa Academy,2014-15,18,283,0.0636042402826855,1,25,0.04,1.59010600706714,0.0236042402826855
Sequoia Elementary,2018-19,0,78,0.0,0,131,0.0,,0.0
Sequoia Elementary,2014-15,3,124,0.0241935483870968,1,128,0.0078125,3.09677419354839,0.0163810483870968
Skyline High,2018-19,48,569,0.0843585237258348,0,142,0.0,,0.0843585237258348
Skyline High,2014-15,79,667,0.118440779610195,5,134,0.0373134328358209,3.17421289355323,0.0811273467743741
Think College Now,2014-15,7,49,0.142857142857143,0,12,0.0,,0.142857142857143
Thornhill Elementary,2018-19,0,41,0.0,2,194,0.0103092783505155,0.0,-0.0103092783505155
Thornhill Elementary,2014-15,0,50,0.0,1,213,0.00469483568075117,0.0,-0.00469483568075117
Vincent Academy,2018-19,13,169,0.0769230769230769,0,24,0.0,,0.0769230769230769
West Oakland Middle,2018-19,48,132,0.363636363636364,0,16,0.0,,0.363636363636364
West Oakland Middle,2014-15,22,176,0.125,0,22,0.0,,0.125
Westlake Middle,2014-15,56,300,0.186666666666667,2,22,0.0909090909090909,2.05333333333334,0.0957575757575761
Young Adult Program,2018-19,0,76,0.0,0,13,0.0,,0.0
