Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,white_susp_rate
Urban Promise Academy,2016-17,White,12,2,0.166666666666667
Vincent Academy,2016-17,White,11,0,0.0
West Oakland Middle,2016-17,White,20,4,0.2
Westlake Middle,2016-17,White,14,2,0.142857142857143
Achieve Academy,2017-18,White,18,0,0.0
Allendale Elementary,2017-18,White,16,0,0.0
American Indian Public High,2017-18,White,15,1,0.0666666666666667
American Indian Public Charter II,2017-18,White,18,1,0.0555555555555556
Aspire Berkley Maynard Academy,2017-18,White,18,0,0.0
Bella Vista Elementary,2017-18,White,23,0,0.0
Bret Harte Middle,2017-18,White,44,1,0.0227272727272727
Carl B. Munck Elementary,2017-18,White,13,0,0.0
Chabot Elementary,2017-18,White,317,2,0.00630914826498423
Claremont Middle,2017-18,White,153,3,0.0196078431372549
Cleveland Elementary,2017-18,White,82,0,0.0
Crocker Highlands Elementary,2017-18,White,290,0,0.0
East Bay Innovation Academy,2017-18,White,149,0,0.0
Edna Brewer Middle,2017-18,White,136,3,0.0220588235294118
Emerson Elementary,2017-18,White,46,0,0.0
EnCompass Academy Elementary,2017-18,White,13,0,0.0
Francophone Charter School of Oakland,2017-18,White,70,0,0.0
Franklin Elementary,2017-18,White,16,1,0.0625
Fremont High,2017-18,White,20,1,0.05
Fruitvale Elementary,2017-18,White,18,0,0.0
Garfield Elementary,2017-18,White,15,0,0.0
Gateway to College at Laney College,2017-18,White,17,0,0.0
Glenview Elementary,2017-18,White,185,1,0.00540540540540541
Greenleaf Elementary,2017-18,White,11,0,0.0
Hillcrest Elementary,2017-18,White,228,1,0.0043859649122807
Hoover Elementary,2017-18,White,25,0,0.0
Howard Elementary,2017-18,White,12,0,0.0
"Independent Study, Sojourner Truth",2017-18,White,25,0,0.0
Joaquin Miller Elementary,2017-18,White,177,0,0.0
Kaiser Elementary,2017-18,White,103,0,0.0
KIPP Bridge Academy,2017-18,White,64,8,0.125
La Escuelita Elementary,2017-18,White,14,0,0.0
Laurel Elementary,2017-18,White,24,0,0.0
Lighthouse Community Charter High,2017-18,White,14,0,0.0
Lighthouse Community Charter,2017-18,White,16,1,0.0625
Lincoln Elementary,2017-18,White,25,0,0.0
Lodestar: A Lighthouse Community Charter Public,2017-18,White,19,3,0.157894736842105
Manzanita SEED Elementary,2017-18,White,45,1,0.0222222222222222
"Martin Luther King, Jr. Elementary",2017-18,White,27,0,0.0
McClymonds High,2017-18,White,21,1,0.0476190476190476
Melrose Leadership Academy,2017-18,White,83,0,0.0
MetWest High,2017-18,White,12,2,0.166666666666667
MLK / Lafayette Elementary,2017-18,White,12,0,0.0
Montclair Elementary,2017-18,White,278,1,0.00359712230215827
Montera Middle,2017-18,White,197,5,0.0253807106598985
"Nonpublic, Nonsectarian Schools",2017-18,White,34,0,0.0
North Oakland Community Charter,2017-18,White,66,3,0.0454545454545455
Oakland High,2017-18,White,28,1,0.0357142857142857
Oakland International High,2017-18,White,32,4,0.125
"Oakland Military Institute, College Preparatory Academy",2017-18,White,28,0,0.0
Oakland School for the Arts,2017-18,White,285,7,0.0245614035087719
Oakland Technical High,2017-18,White,501,6,0.0119760479041916
Peralta Elementary,2017-18,White,186,0,0.0
Piedmont Avenue Elementary,2017-18,White,28,0,0.0
Redwood Heights Elementary,2017-18,White,154,1,0.00649350649350649
Roosevelt Middle,2017-18,White,14,0,0.0
ROOTS International Academy,2017-18,White,12,1,0.0833333333333333
Sequoia Elementary,2017-18,White,134,0,0.0
Skyline High,2017-18,White,139,0,0.0
Thornhill Elementary,2017-18,White,198,0,0.0
Vincent Academy,2017-18,White,15,0,0.0
West Oakland Middle,2017-18,White,18,2,0.111111111111111
Westlake Middle,2017-18,White,18,3,0.166666666666667
Young Adult Program,2017-18,White,12,0,0.0
Achieve Academy,2018-19,White,17,0,0.0
Allendale Elementary,2018-19,White,16,0,0.0
American Indian Public High,2018-19,White,24,4,0.166666666666667
American Indian Public Charter II,2018-19,White,42,5,0.119047619047619
Aspire Berkley Maynard Academy,2018-19,White,30,0,0.0
Bay Area Technology,2018-19,White,18,4,0.222222222222222
Bella Vista Elementary,2018-19,White,23,0,0.0
Bret Harte Middle,2018-19,White,45,2,0.0444444444444444
Carl B. Munck Elementary,2018-19,White,15,0,0.0
Chabot Elementary,2018-19,White,304,0,0.0
Claremont Middle,2018-19,White,172,1,0.00581395348837209
Cleveland Elementary,2018-19,White,85,0,0.0
Crocker Highlands Elementary,2018-19,White,278,0,0.0
East Bay Innovation Academy,2018-19,White,175,5,0.0285714285714286
Edna Brewer Middle,2018-19,White,176,2,0.0113636363636364
Emerson Elementary,2018-19,White,40,0,0.0
EnCompass Academy Elementary,2018-19,White,13,0,0.0
Francophone Charter School of Oakland,2018-19,White,86,0,0.0
Franklin Elementary,2018-19,White,18,0,0.0
Fred T. Korematsu Discovery Academy,2018-19,White,11,1,0.0909090909090909
Fremont High,2018-19,White,19,1,0.0526315789473684
Fruitvale Elementary,2018-19,White,15,1,0.0666666666666667
Garfield Elementary,2018-19,White,25,0,0.0
Gateway to College at Laney College,2018-19,White,12,0,0.0
Glenview Elementary,2018-19,White,190,0,0.0
Greenleaf Elementary,2018-19,White,19,1,0.0526315789473684
Hillcrest Elementary,2018-19,White,211,3,0.014218009478673
Hoover Elementary,2018-19,White,19,0,0.0
"Independent Study, Sojourner Truth",2018-19,White,25,0,0.0
Joaquin Miller Elementary,2018-19,White,170,0,0.0
Kaiser Elementary,2018-19,White,102,2,0.0196078431372549
KIPP Bridge Academy,2018-19,White,68,7,0.102941176470588
La Escuelita Elementary,2018-19,White,19,0,0.0
Laurel Elementary,2018-19,White,29,0,0.0
Lighthouse Community Charter,2018-19,White,18,1,0.0555555555555556
Lincoln Elementary,2018-19,White,34,0,0.0
