Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
Piedmont Avenue Elementary,2015-16,African American,217,0,0.0
Ralph J. Bunche High,2015-16,African American,120,0,0.0
Reach Academy,2015-16,African American,178,3,0.0168539325842697
Redwood Heights Elementary,2015-16,African American,67,3,0.0447761194029851
Rise Community,2015-16,African American,91,1,0.010989010989011
Roosevelt Middle,2015-16,African American,108,14,0.12962962962963
ROOTS International Academy,2015-16,African American,113,36,0.31858407079646
Roses in Concrete,2015-16,African American,68,8,0.117647058823529
Rudsdale Continuation,2015-16,African American,125,6,0.048
Sankofa Academy,2015-16,African American,282,16,0.0567375886524823
Sequoia Elementary,2015-16,African American,109,5,0.0458715596330275
Skyline High,2015-16,African American,650,108,0.166153846153846
Street Academy (Alternative),2015-16,African American,95,0,0.0
Think College Now,2015-16,African American,55,5,0.0909090909090909
Thornhill Elementary,2015-16,African American,54,0,0.0
United for Success Academy,2015-16,African American,85,20,0.235294117647059
Urban Promise Academy,2015-16,African American,32,7,0.21875
Vincent Academy,2015-16,African American,219,5,0.0228310502283105
West Oakland Middle,2015-16,African American,150,41,0.273333333333333
Westlake Middle,2015-16,African American,256,44,0.171875
Young Adult Program,2015-16,African American,32,0,0.0
Achieve Academy,2016-17,African American,26,1,0.0384615384615385
ACORN Woodland Elementary,2016-17,African American,24,1,0.0416666666666667
Allendale Elementary,2016-17,African American,111,0,0.0
Alliance Academy,2016-17,African American,82,19,0.231707317073171
American Indian Public Charter,2016-17,African American,164,0,0.0
American Indian Public High,2016-17,African American,53,8,0.150943396226415
Aspire Berkley Maynard Academy,2016-17,African American,278,20,0.0719424460431655
Aspire College Academy,2016-17,African American,63,8,0.126984126984127
Aspire ERES Academy,2016-17,African American,12,1,0.0833333333333333
Aspire Golden State College Preparatory Academy,2016-17,African American,83,18,0.216867469879518
Aspire Lionel Wilson College Preparatory Academy,2016-17,African American,24,2,0.0833333333333333
Aspire Monarch Academy,2016-17,African American,18,0,0.0
Aspire Triumph Technology Academy,2016-17,African American,180,29,0.161111111111111
Bay Area Technology,2016-17,African American,127,14,0.110236220472441
Bella Vista Elementary,2016-17,African American,108,2,0.0185185185185185
Bret Harte Middle,2016-17,African American,179,16,0.0893854748603352
Bridges Academy,2016-17,African American,29,5,0.172413793103448
Brookfield Elementary,2016-17,African American,104,12,0.115384615384615
Burckhalter Elementary,2016-17,African American,204,5,0.0245098039215686
Carl B. Munck Elementary,2016-17,African American,157,0,0.0
Castlemont High,2016-17,African American,280,32,0.114285714285714
Chabot Elementary,2016-17,African American,52,1,0.0192307692307692
Civicorps Corpsmember Academy,2016-17,African American,80,1,0.0125
Claremont Middle,2016-17,African American,183,9,0.0491803278688525
Cleveland Elementary,2016-17,African American,81,0,0.0
Coliseum College Prep Academy,2016-17,African American,61,5,0.0819672131147541
Community Day High,2016-17,African American,14,6,0.428571428571429
Community Day Middle,2016-17,African American,11,2,0.181818181818182
Community United Elementary,2016-17,African American,91,15,0.164835164835165
Conservatory of Vocal/Instrumental Arts High,2016-17,African American,39,0,0.0
Crocker Highlands Elementary,2016-17,African American,40,0,0.0
Dewey Academy,2016-17,African American,154,6,0.038961038961039
East Bay Innovation Academy,2016-17,African American,69,3,0.0434782608695652
East Oakland Pride Elementary,2016-17,African American,94,5,0.0531914893617021
Edna Brewer Middle,2016-17,African American,213,19,0.0892018779342723
Emerson Elementary,2016-17,African American,186,6,0.032258064516129
EnCompass Academy Elementary,2016-17,African American,80,5,0.0625
Epic Charter,2016-17,African American,66,21,0.318181818181818
Francophone Charter School of Oakland,2016-17,African American,35,0,0.0
Franklin Elementary,2016-17,African American,108,4,0.037037037037037
Fred T. Korematsu Discovery Academy,2016-17,African American,60,3,0.05
Fremont High,2016-17,African American,221,77,0.34841628959276
Frick Middle,2016-17,African American,132,28,0.212121212121212
Fruitvale Elementary,2016-17,African American,108,8,0.0740740740740741
Futures Elementary,2016-17,African American,144,12,0.0833333333333333
Garfield Elementary,2016-17,African American,116,5,0.0431034482758621
Gateway to College at Laney College,2016-17,African American,32,0,0.0
Glenview Elementary,2016-17,African American,113,4,0.0353982300884956
Global Family,2016-17,African American,26,3,0.115384615384615
Grass Valley Elementary,2016-17,African American,194,1,0.00515463917525773
Greenleaf Elementary,2016-17,African American,64,5,0.078125
Hillcrest Elementary,2016-17,African American,30,0,0.0
Hoover Elementary,2016-17,African American,135,0,0.0
Horace Mann Elementary,2016-17,African American,138,7,0.0507246376811594
Howard Elementary,2016-17,African American,152,4,0.0263157894736842
"Independent Study, Sojourner Truth",2016-17,African American,68,0,0.0
Joaquin Miller Elementary,2016-17,African American,73,1,0.0136986301369863
Kaiser Elementary,2016-17,African American,67,0,0.0
KIPP Bridge Academy,2016-17,African American,382,23,0.0602094240837696
La Escuelita Elementary,2016-17,African American,58,3,0.0517241379310345
Laurel Elementary,2016-17,African American,206,9,0.0436893203883495
Learning Without Limits,2016-17,African American,77,5,0.0649350649350649
LIFE Academy,2016-17,African American,33,3,0.0909090909090909
Lighthouse Community Charter High,2016-17,African American,20,2,0.1
Lighthouse Community Charter,2016-17,African American,49,4,0.0816326530612245
Lincoln Elementary,2016-17,African American,55,1,0.0181818181818182
Lodestar: A Lighthouse Community Charter Public,2016-17,African American,68,4,0.0588235294117647
LPS Oakland R & D Campus,2016-17,African American,30,4,0.133333333333333
Madison Park Academy TK-5,2016-17,African American,104,4,0.0384615384615385
Madison Park Academy 6-12,2016-17,African American,115,12,0.104347826086957
Manzanita Community,2016-17,African American,146,6,0.0410958904109589
Manzanita SEED Elementary,2016-17,African American,49,4,0.0816326530612245
Markham Elementary,2016-17,African American,128,2,0.015625
"Martin Luther King, Jr. Elementary",2016-17,African American,204,6,0.0294117647058824
McClymonds High,2016-17,African American,351,66,0.188034188034188
Melrose Leadership Academy,2016-17,African American,55,1,0.0181818181818182
MetWest High,2016-17,African American,46,3,0.0652173913043478
Montclair Elementary,2016-17,African American,93,0,0.0
Montera Middle,2016-17,African American,324,60,0.185185185185185
New Highland Academy,2016-17,African American,56,4,0.0714285714285714
